SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
NAGARFERT,EQ,7.1,7.45,6.9,7.35,7.4,7.05,146276,1053787.25,15-NOV-2003,
NAHAREXP,EQ,27,28,26.7,27.6,28,26.65,13595,369248.5,15-NOV-2003,
NAHARINTL,BE,6.3,7.65,6.3,7.55,7.65,7,2001,14288.8,15-NOV-2003,
NAHARSPG,EQ,109.8,110,107.5,108.85,109.35,108.5,16772,1822712.95,15-NOV-2003,
NARMDCHEMA,EQ,18.2,19,18.2,18.75,18.7,18.2,3631,67610.2,15-NOV-2003,
NATCOPHARM,EQ,95.5,98,95.15,97.5,97.9,95.65,31962,3096037.45,15-NOV-2003,
NATHSEEDS,EQ,7.6,8.2,7.6,7.95,8,8.05,17601,140826.3,15-NOV-2003,
NATIONALUM,EQ,145,148,141.9,145.3,147.7,142.95,640148,92566774.1,15-NOV-2003,
NATNLSTEEL,EQ,10.9,10.9,10.1,10.6,10.55,10.45,16975,178550.15,15-NOV-2003,
NAVBARFERO,EQ,119.05,128.45,119.05,127.65,128.3,122.55,13077,1636136.15,15-NOV-2003,
NAVNETPUBL,EQ,160,160,154.2,155.85,157.95,160.3,10046,1576835.15,15-NOV-2003,
NELCO,EQ,49.4,58.6,47.75,58.1,58.6,48.8,1078630,59084354.25,15-NOV-2003,
NEPCMICON,BE,4.4,4.65,4.4,4.55,4.5,4.5,10093,45513.5,15-NOV-2003,
NEYVELILIG,EQ,54.9,58.6,54.1,57.55,58.6,54.55,953746,53804029.3,15-NOV-2003,
NICCOCORP,BE,5,5,5,5,5,4.55,100,500,15-NOV-2003,
NICOLASPIR,EQ,546,554,545.1,551.05,553.5,551.15,3762,2071659.9,15-NOV-2003,
NIFTYBEES,EQ,152.05,155,152.05,155,155,156.95,10,1535.25,15-NOV-2003,
NIIT,EQ,192,195.5,185.65,190.65,195.5,190.7,777138,146751943.5,15-NOV-2003,
NILKAMPLST,EQ,43.1,44.1,43,43.8,43.5,43.25,3649,158948.4,15-NOV-2003,
NIPPONDENR,EQ,11.9,11.95,11.5,11.75,11.85,11.9,842049,9879062.75,15-NOV-2003,
NIRMA,EQ,334.5,342,331.5,335.45,337,330,31298,10469697.15,15-NOV-2003,
NOCIL,EQ,14.95,15,14.55,14.8,14.9,14.8,176305,2603966,15-NOV-2003,
NOVAPETRO,EQ,41.9,41.9,38.2,38.35,38.35,38.7,302,11720.25,15-NOV-2003,
NOVOPANIND,EQ,35,37,35,37,37,37,66,2376,15-NOV-2003,
NRBBEARING,EQ,135,137.55,128.5,137.55,137.55,131,2174,294476.45,15-NOV-2003,
NRC,EQ,20.5,22.3,20.5,22,22,20.5,23749,511704.05,15-NOV-2003,
NUCHEM,BE,2.15,2.15,2,2,2,2.15,4000,8255,15-NOV-2003,
NUCLEUS,EQ,80,85.85,67.25,83.5,84.45,83.7,10737,846112.5,15-NOV-2003,
OENCONNECT,EQ,140.35,148,140.35,146.95,148,142.25,902,130898.35,15-NOV-2003,
OILCOUNTUB,EQ,11.2,11.2,10.5,11.05,11.2,10.9,6793,74342.2,15-NOV-2003,
OMAXAUTO,EQ,89.8,91,88.4,90.6,91,88.5,23692,2133591.45,15-NOV-2003,
ONGC,EQ,625.95,629.95,617,624.05,628.55,624,132645,82510257.85,15-NOV-2003,
ONWARDTEC,EQ,20.95,20.95,20,20.5,20.7,20.5,4249,86736.8,15-NOV-2003,
OPTOCIRCUI,EQ,66.75,72,66.75,71.05,70.9,66.9,35756,2502705.95,15-NOV-2003,
ORCHIDCHEM,EQ,178,181.7,174,179.35,181,177.85,107162,19030809.75,15-NOV-2003,
ORIENTBANK,EQ,232,234,227,231.8,233.15,230,374395,86370850.6,15-NOV-2003,
ORIENTHOT,EQ,117,117,117,117,117,112,150,17550,15-NOV-2003,
ORIENTINFO,EQ,30.9,31.7,30.85,31.2,31.4,31.3,19903,621095.85,15-NOV-2003,
ORIENTPPR,EQ,26.5,27.6,26.2,27.3,27.3,26.3,7490,200452,15-NOV-2003,
