SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CREATIVEYE,BE,5.3,5.3,5,5,5,5.2,2103,10575.45,28-SEP-2012,14,INE230B01021,
CRESTANI,EQ,24.35,28.45,24.35,27.75,27.85,24.15,1632721,44657684.2,28-SEP-2012,8095,INE774A01012,
CREWBOS,EQ,26.85,27,26.15,26.35,26.45,26.25,75583,2009481.75,28-SEP-2012,469,INE514G01019,
CRISIL,EQ,953,968,953,960.55,960,953.4,17072,16383238.9,28-SEP-2012,2247,INE007A01025,
CRMFGETF,EQ,3138,3138,3138,3138,3138,3163,300,941400,28-SEP-2012,1,INF760K01BR1,
CROMPGREAV,EQ,125,130.25,125,126.1,126.5,124.6,2960068,379601347.95,28-SEP-2012,30501,INE067A01029,
CTE,EQ,6.8,7.3,6.8,7.3,7.3,7.2,1833,13155.2,28-SEP-2012,8,INE627H01017,
CUB,EQ,52.4,53.65,52.15,52.55,52.85,52.45,504925,26686876.9,28-SEP-2012,2266,INE491A01021,
CUBEXTUB,EQ,7.25,7.4,6.95,7.35,7.35,7,2388,17013.9,28-SEP-2012,14,INE144D01012,
CUMMINSIND,EQ,500,518.6,482.3,505.25,509,489.8,578051,291409568,28-SEP-2012,10708,INE298A01020,
CYBERTECH,EQ,13.05,13.85,13.05,13.6,13.8,13.4,2463,33397.25,28-SEP-2012,13,INE214A01019,
DAAWAT,EQ,50,52.4,50,51.95,52,50.2,33788,1738438.9,28-SEP-2012,547,INE818H01012,
DABUR,EQ,124.25,132,124.25,128,129.15,124.1,1628440,206775478,28-SEP-2012,12496,INE016A01026,
DALMIABEL,EQ,155,175.1,149,170.85,168.2,150.15,318240,53765793.75,28-SEP-2012,8397,INE439L01019,
DALMIASUG,BE,19.7,20.05,19.6,19.65,19.65,19.7,8129,160124.45,28-SEP-2012,51,INE495A01022,
DATAMATICS,EQ,32.8,32.8,31.8,31.9,31.9,32.1,8883,284513.1,28-SEP-2012,135,INE365B01017,
DBCORP,EQ,201,205.95,200,201.85,202.9,198.15,10421,2117802.15,28-SEP-2012,856,INE950I01011,
DBREALTY,EQ,73.4,73.5,70.8,71.3,70.9,72.55,184546,13432638.25,28-SEP-2012,1308,INE879I01012,
DBSTOCKBRO,EQ,95.8,95.9,95.75,95.85,95.9,95.6,98882,9476051.7,28-SEP-2012,1232,INE921B01025,
DCB,EQ,43.6,44.6,43.6,43.95,43.85,43.2,1976061,87245345.95,28-SEP-2012,6219,INE503A01015,
DCHL,EQ,10.3,10.45,10.05,10.25,10.2,10.15,2134728,21852048.9,28-SEP-2012,3034,INE137G01027,
DCM,EQ,137.5,139.7,135,136.4,136.5,136.7,9493,1303885.25,28-SEP-2012,360,INE498A01018,
DCMSRMCONS,EQ,52.5,53.25,52.1,52.8,52.65,53.05,18817,993446.3,28-SEP-2012,496,INE499A01024,
